Circle Test @ YYE. Version 1.1.1.. Simulation on 2023- 6- 2   17h19
          X coord          Y coord          Radius          Time          Local Time
         0.94113430        -0.33647809        0.00133908        0.00000200        0.00250663
         0.94036978        -0.33779470        0.00200000        0.00000300        0.00375994
         0.93990001        -0.33973874        0.00200000        0.00000400        0.00501326
         0.93988805        -0.33847069        0.00200000        0.00000500        0.00626657
         0.93992245        -0.33949466        0.00102454        0.00000500        0.00626657
         0.94052598        -0.33758789        0.00200000        0.00000600        0.00751988
         0.94038322        -0.33675769        0.00200000        0.00000700        0.00877320
         0.93983229        -0.33576254        0.00113747        0.00000700        0.00877320
         0.94157765        -0.33480375        0.00199137        0.00000700        0.00877320
         0.94062743        -0.33656360        0.00200000        0.00000800        0.01002651
         0.93898258        -0.33770136        0.00200000        0.00000900        0.01127983
         0.94111006        -0.33749952        0.00213703        0.00000900        0.01127983
         0.94046774        -0.33939356        0.00200000        0.00000900        0.01127983
         0.93879562        -0.33926205        0.00200000        0.00001000        0.01253314
         0.94041717        -0.33851918        0.00178362        0.00001000        0.01253314
         0.93879023        -0.33968240        0.00200000        0.00001100        0.01378646
         0.93793649        -0.34108937        0.00164574        0.00001100        0.01378646
         0.93971672        -0.34024920        0.00196853        0.00001100        0.01378646
         0.94078388        -0.33855770        0.00200000        0.00001100        0.01378646
         0.93914425        -0.33812202        0.00200000        0.00001200        0.01503977
         0.93986129        -0.33981925        0.00184249        0.00001200        0.01503977
         0.93788208        -0.33953167        0.00200000        0.00001300        0.01629308
         0.93843245        -0.33704076        0.00255098        0.00001300        0.01629308
         0.93773665        -0.33983356        0.00287817        0.00001300        0.01629308
         0.93879201        -0.34219321        0.00258491        0.00001300        0.01629308
         0.93752813        -0.34064318        0.00200000        0.00001300        0.01629308
         0.93502502        -0.34073390        0.00250475        0.00001300        0.01629308
         0.93953045        -0.34246333        0.00482595        0.00001300        0.01629308
         0.93907212        -0.34051892        0.00200000        0.00001400        0.01754640
         0.93905235        -0.33942328        0.00109581        0.00001400        0.01754640
         0.93918185        -0.34090500        0.00148737        0.00001400        0.01754640
         0.93799769        -0.34251676        0.00200000        0.00001500        0.01879971
         0.93703728        -0.34146768        0.00142231        0.00001500        0.01879971
         0.93449528        -0.34060597        0.00268408        0.00001500        0.01879971
         0.93810255        -0.33663137        0.00536747        0.00001500        0.01879971
         0.93671846        -0.33965679        0.00332699        0.00001500        0.01879971
         0.93399820        -0.34201845        0.00360239        0.00001500        0.01879971
         0.93732446        -0.34620832        0.00534968        0.00001500        0.01879971
         0.93827575        -0.34481687        0.00200000        0.00001600        0.02005303
         0.93794617        -0.34335508        0.00200000        0.00001700        0.02130634
         0.93734902        -0.34437611        0.00118283        0.00001700        0.02130634
         0.93869174        -0.34474292        0.00139192        0.00001700        0.02130634
         0.93758273        -0.34308977        0.00200000        0.00001800        0.02255965
         0.93886947        -0.34211326        0.00161533        0.00001800        0.02255965
         0.93715722        -0.34107971        0.00200000        0.00001900        0.02381297
         0.93935354        -0.34265723        0.00270414        0.00001900        0.02381297
         0.93795921        -0.34394624        0.00200000        0.00002000        0.02506628
         0.93752044        -0.34589752        0.00200000        0.00002100        0.02631960
