PSD @ YYE. Simulation done on 2023- 4-26   15h56
   86.021152121616481       -322.04265633418936     
   42.137470947875123       -292.04396579052440     
   78.309244594536239       -391.85261962750820     
   62.123856034335176       -410.81546315428250     
   33.452700080582829       -404.01522056425728     
   56.413780283879184       -456.94621929597832     
   46.302870214529733       -451.79771753488842     
   57.673279124001546       -432.17753169706100     
   63.537293866721704       -410.31029906109154     
   66.150525747891194       -381.93530497809417     
   26.268813027226422       -375.36410779299632     
  -35.232705075181798       -423.73380433524926     
   5.8734731964448841       -445.03132942126274     
   57.663424771767772       -412.66314810862809     
   26.029027657713776       -405.63563969381948     
   36.344775412320026       -468.10515112905631     
   25.399972312111476       -447.70912989172405     
  -15.978577658272659       -458.73962840504771     
  -22.411039950735418       -413.72947495412132     
  -50.550331353481383       -358.03231785614048     
  -73.947282794759928       -296.44577225313242     
  -143.97176073885430       -327.02958744612545     
  -143.57784291015693       -326.76034771996149     
  -144.47115092264653       -326.42865239982507     
  -144.54377171605807       -326.09125778417996     
  -144.12828825623791       -325.91601780935986     
 #              14
   0.0000000000000000        0.0000000000000000     
  -332.38580820108137       -25.115445797854957     
  -338.82481641658256       -36.842260540347169     
  -327.37583496510990       -44.303028798186858     
  -343.41837023502148       -22.200538001877600     
  -345.77051847501116       -22.459593281279766     
  -345.44633280479707       -22.784359346592389     
 #              15
   0.0000000000000000        0.0000000000000000     
   22.863638543993453        332.54828994243928     
   99.413586508525100        264.23308211974870     
   91.277717906560426        334.22571849313630     
   129.15953389342658        314.92904287115050     
   140.13434243706035        298.98613214209945     
   157.55443887467558        302.75042668644642     
   156.86125376622726        302.25200351690029     
 #              16
   0.0000000000000000        0.0000000000000000     
  -224.80509331266776       -246.11741330469448     
  -265.93265382918349       -257.05740450065684     
  -270.63126116169843       -225.79074581377859     
  -327.46677233542528       -198.88031991626733     
  -415.21671880688984       -179.82630098562066     
  -399.64499030034364       -168.93945133727703     
  -420.19525000708325       -151.36206542906723     
  -420.31374772837415       -151.80282041591144     
  -419.73958981580768       -151.80073215279680     
  -419.16633482326955       -152.70463152758177     
  -419.96196208164628       -154.55998944848534     
  -418.68750272387416       -152.69676240181386     
 #              17
   0.0000000000000000        0.0000000000000000     
  -73.181504408674428       -325.20082798725196     
  -129.64934364777591       -297.95413927930275     
  -104.33169093695994       -308.47969393246774     
  -105.68589217337545       -352.54028102862895     
  -105.84070035197634       -331.66252833400387     
  -74.711287566640905       -333.49216725665917     
  -25.016873707085402       -305.11233055513543     
  -117.38042377230576       -237.52069714127049     
  -64.936504476856072       -189.60884538450068     
  -136.23282711438577       -66.808234899732867     
  -44.093749179889400       -253.41568416037748     
   27.350311653677522       -152.33414003901535     
  -34.265260017921541        32.602159529650407     
  -211.84741718032802        259.68821920491109     
  -196.12544015942564        284.04105687068522     
  -191.49308139393722        283.91484822969920     
 #              18
