PSD @ YYE. Version 2.0.2.. Simulation on 2023- 5-31   13h55
          X coord          Y coord          Generation          Radius          Time          Local Time

 #            1
         0.45987670         0.57512645       4        0.00111733        0.24079819        0.09149193
         0.45804626         0.57386355       4        0.00222382        0.24079943        0.09149193
         0.45477575         0.57507224       4        0.00348671        0.24080247        0.09149193
         0.45432613         0.57730546       4        0.00227803        0.24080377        0.09149193
         0.45417228         0.57531138       4        0.00200000        0.24080377        0.09149193
         0.45302290         0.57699543       4        0.00203889        0.24080480        0.09149193
         0.45285302         0.57571234       4        0.00200000        0.24080580        0.09274525
         0.45413797         0.57672807       4        0.00163793        0.24080647        0.09274525
         0.45421941         0.57597412       4        0.00200000        0.24080747        0.09399856
         0.45528742         0.57510630       4        0.00137615        0.24080795        0.09399856
         0.45399878         0.57326925       4        0.00224397        0.24080921        0.09399856
         0.45414686         0.57734758       4        0.00408102        0.24081337        0.09399856
         0.45262276         0.57605793       4        0.00200000        0.24081437        0.09525187
         0.45301944         0.57482798       4        0.00129234        0.24081479        0.09525187
         0.45414302         0.57708619       4        0.00252229        0.24081638        0.09525187
         0.45239438         0.57664365       4        0.00200000        0.24081738        0.09650519
         0.45138869         0.57632814       4        0.00200000        0.24081838        0.09775850
         0.45039772         0.57607770       4        0.00102213        0.24081864        0.09775850
         0.45013623         0.57483228       4        0.00127257        0.24081905        0.09775850
         0.44916507         0.57250912       4        0.00251798        0.24082063        0.09775850
         0.45084554         0.56796899       4        0.00484115        0.24082649        0.09775850
         0.45521469         0.57627074       4        0.00938128        0.24084849        0.09775850
         0.45415404         0.57606968       4        0.00107953        0.24084878        0.09775850
         0.45533634         0.57656169       4        0.00128059        0.24084919        0.09775850
         0.45733621         0.57653859       4        0.00200000        0.24084919        0.09775850
         0.45655889         0.57469583       4        0.00200000        0.24084919        0.09775850
         0.45722110         0.57212532       4        0.00265444        0.24085095        0.09775850
         0.45229216         0.57385898       4        0.00522495        0.24085778        0.09775850
         0.45577456         0.57361010       4        0.00349129        0.24086083        0.09775850
         0.45258184         0.57555827       4        0.00374016        0.24086432        0.09775850
         0.45313211         0.57385285       4        0.00179200        0.24086513        0.09775850
         0.45592876         0.57595302       4        0.00349742        0.24086818        0.09775850
         0.45495133         0.57495456       4        0.00139725        0.24086867        0.09775850
         0.45314415         0.57338181       4        0.00239571        0.24087011        0.09775850
         0.45187284         0.56962249       4        0.00396846        0.24087404        0.09775850
         0.44608296         0.56450431       4        0.00772778        0.24088897        0.09775850
         0.43324691         0.56399958       4        0.01284596        0.24093023        0.09775850
         0.44635881         0.56651339       4        0.01335069        0.24097479        0.09775850
         0.44968829         0.55620067       4        0.01083687        0.24100415        0.09775850
         0.47083467         0.55656985       4        0.02114960        0.24111598        0.09775850
         0.45156436         0.54879288       4        0.02078042        0.24122393        0.09775850
         0.42399829         0.55625181       4        0.02855739        0.24142781        0.09775850
         0.44454860         0.55147380       4        0.02109846        0.24153910        0.09775850
         0.42175166         0.53923080       4        0.02587647        0.24170650        0.09775850
         0.38641224         0.52494028       4        0.03811947        0.24206977        0.09775850
         0.40415916         0.57425411       3        0.05240999        0.24275647        0.09775850
         0.40550003         0.57704486       4        0.00309616        0.24275887        0.09775850
         0.40400829         0.57571267       4        0.00200000        0.24275887        0.09775850
         0.40322321         0.57427552       4        0.00163760        0.24275954        0.09775850
         0.40020016         0.57371402       4        0.00307475        0.24276190        0.09775850
         0.40319218         0.57164758       4        0.00363625        0.24276521        0.09775850
         0.40868933         0.57316481       4        0.00570269        0.24277334        0.09775850
         0.40965012         0.57723850       4        0.00418546        0.24277772        0.09775850
         0.40917840         0.57551847       4        0.00200000        0.24277872        0.09901182
         0.40878143         0.57730674       4        0.00183180        0.24277956        0.09901182
         0.40751436         0.57584637       4        0.00200000        0.24278056        0.10026513
         0.40895328         0.57540905       4        0.00150390        0.24278112        0.10026513
         0.40701810         0.57556210       4        0.00194122        0.24278206        0.10026513
         0.40866196         0.57626584       4        0.00178817        0.24278286        0.10026513
         0.40761735         0.57655700       4        0.00108442        0.24278316        0.10026513
         0.40925758         0.57699914       4        0.00200000        0.24278416        0.10151845
         0.40732482         0.57718717       4        0.00200000        0.24278516        0.10277176
         0.40915001         0.57669564       4        0.00200000        0.24278616        0.10402507
         0.40907071         0.57469721       4        0.00200000        0.24278716        0.10527839
         0.41040458         0.57240385       4        0.00265306        0.24278892        0.10527839
         0.40721566         0.56862261       4        0.00494642        0.24279503        0.10527839
         0.41223467         0.56148247       4        0.00872766        0.24281408        0.10527839
         0.41985316         0.57540173       4        0.01586780        0.24287702        0.10527839
         0.42180170         0.57540162       4        0.00194854        0.24287797        0.10527839
         0.42005334         0.57626212       4        0.00194865        0.24287892        0.10527839
         0.41896581         0.57622545       4        0.00108815        0.24287922        0.10527839
         0.41901148         0.57734934       4        0.00112482        0.24287953        0.10527839
         0.42099858         0.57712444       4        0.00200000        0.24288053        0.10653170
         0.41933934         0.57600779       4        0.00200000        0.24288153        0.10778502
         0.41915845         0.57733803       4        0.00134248        0.24288199        0.10778502
         0.41774734         0.57592072       4        0.00200000        0.24288199        0.10778502
