PSD @ YYE. Simulation done on 2023- 4-19   22h14
   456.79012345679013       -213.83343303319472     
   462.96296296296299       -203.14176138153499     
   450.61728395061732       -203.14176138153496     
   444.44444444444446       -192.45008972987523     
   450.61728395061732       -181.75841807821550     
   462.96296296296299       -181.75841807821550     
   456.79012345679013       -171.06674642655577     
   462.96296296296299       -160.37507477489604     
   475.30864197530866       -160.37507477489604     
   481.48148148148152       -171.06674642655580     
   487.65432098765439       -160.37507477489606     
   500.00000000000006       -160.37507477489606     
   493.82716049382725       -149.68340312323633     
   500.00000000000011       -138.99173147157660     
   487.65432098765439       -138.99173147157657     
   481.48148148148158       -128.30005981991684     
   487.65432098765444       -117.60838816825711     
   500.00000000000011       -117.60838816825711     
   493.82716049382725       -106.91671651659736     
   500.00000000000011       -96.225044864937630     
   487.65432098765444       -96.225044864937630     
   481.48148148148158       -85.533373213277883     
   475.30864197530872       -96.225044864937615     
   462.96296296296305       -96.225044864937615     
   456.79012345679018       -85.533373213277869     
   462.96296296296305       -74.841701561618123     
   450.61728395061738       -74.841701561618109     
   444.44444444444451       -64.150029909958363     
   438.27160493827165       -74.841701561618109     
   425.92592592592598       -74.841701561618109     
   432.09876543209884       -85.533373213277869     
   425.92592592592598       -96.225044864937615     
   413.58024691358031       -96.225044864937615     
   407.40740740740745       -85.533373213277869     
   401.23456790123458       -96.225044864937601     
   388.88888888888891       -96.225044864937601     
   382.71604938271605       -85.533373213277869     
   388.88888888888891       -74.841701561618123     
   376.54320987654324       -74.841701561618123     
   370.37037037037038       -64.150029909958391     
   376.54320987654324       -53.458358258298659     
   388.88888888888891       -53.458358258298666     
   382.71604938271605       -42.766686606638920     
   388.88888888888891       -32.075014954979189     
   376.54320987654324       -32.075014954979181     
   370.37037037037044       -21.383343303319446     
   364.19753086419757       -32.075014954979167     
   351.85185185185190       -32.075014954979160     
   345.67901234567904       -21.383343303319421     
   351.85185185185190       -10.691671651659680     
   339.50617283950623       -10.691671651659682     
   333.33333333333337        5.6843418860808015E-014
   339.50617283950623        10.691671651659790     
   351.85185185185190        10.691671651659785     
   345.67901234567904        21.383343303319528     
   351.85185185185190        32.075014954979260     
   364.19753086419757        32.075014954979245     
   370.37037037037038        21.383343303319492     
   376.54320987654330        32.075014954979238     
   388.88888888888897        32.075014954979224     
   382.71604938271616        42.766686606638963     
   388.88888888888903        53.458358258298688     
   376.54320987654330        53.458358258298709     
   370.37037037037049        64.150029909958448     
   376.54320987654336        74.841701561618180     
   388.88888888888903        74.841701561618180     
   382.71604938271616        85.533373213277926     
   388.88888888888903        96.225044864937658     
   401.23456790123470        96.225044864937644     
   407.40740740740756        85.533373213277898     
   413.58024691358042        96.225044864937644     
   425.92592592592609        96.225044864937630     
   432.09876543209890        85.533373213277883     
   425.92592592592604        74.841701561618152     
   438.27160493827176        74.841701561618137     
   444.44444444444457        64.150029909958391     
   450.61728395061743        74.841701561618123     
   462.96296296296310        74.841701561618109     
   456.79012345679024        85.533373213277855     
   462.96296296296310        96.225044864937587     
   475.30864197530877        96.225044864937573     
   481.48148148148164        85.533373213277827     
   487.65432098765450        96.225044864937573     
   500.00000000000017        96.225044864937558     
   493.82716049382731        106.91671651659730     
   500.00000000000017        117.60838816825705     
   487.65432098765450        117.60838816825704     
   481.48148148148164        128.30005981991678     
   487.65432098765450        138.99173147157651     
   500.00000000000017        138.99173147157651     
   493.82716049382731        149.68340312323625     
   500.00000000000017        160.37507477489598     
   487.65432098765450        160.37507477489598     
   481.48148148148169        171.06674642655571     
   475.30864197530883        160.37507477489601     
   462.96296296296316        160.37507477489601     
   456.79012345679030        171.06674642655574     
   462.96296296296316        181.75841807821547     
   450.61728395061749        181.75841807821550     
   444.44444444444463        192.45008972987523     
   450.61728395061749        203.14176138153496     
   462.96296296296316        203.14176138153496     
   456.79012345679030        213.83343303319469     
